Document,Topic,roberta_polarity,roberta_sentiment
"Objective qualities or the way different forms of art are evaluated, change with time. Some art that may be recognized as amateurish, poorly executed or ""bad"" as you call it, can at another time in history be recognized as a masterpiece. You're wrong, you're obnoxious, you're ignorant.",topic_10,-0.62914515,Negative
10 Early Scathing Reviews of Works Now Considered Masterpieces,topic_10,-0.46211717,Negative
"Not really, art is subjective",topic_10,-0.12927258,Neutral
I blame the art. Most other art projects don't prompt people to throw themselves off it.,topic_10,-0.641077,Negative
It is not the art piece’s fault that suicidal people jump off of tall things…,topic_10,-0.65270674,Negative
You seem to just be mad at this art piece in general because the logic of your critique seems to be based on your feelings and not the actual factual conditions.,topic_10,-0.7013741,Negative
Is society not art that is failing… mental healthcare is out of reach to most people! We are fighting each other trying to decide whether or not living wage is required for full time workers. Society blames inflation on minimum wage workers ignoring million dollar + compensations and corporate profits but it must be the minimum wage workers the reason why a house now cost over 800k in NYC,topic_10,-0.7064193,Negative
"Is the Eiffel Tower ""bad public art"" because over 300 people have committed suicide off of it since it was built?",topic_10,-0.71629786,Negative
Also because the art is bad.,topic_10,-0.72589743,Negative
"No, the art is bad",topic_10,-0.71629786,Negative
The art is bad though,topic_10,-0.7113937,Negative
This! It's like saying that the High-Line is dumb because it does not help my commute. Art is what you make of it. Some people like detailed sculptures and some like a dot on canvas. Not everyone has to absolutely love every expression out there.,topic_10,-0.59798205,Negative
"Yeah.  I don't care for most modern art, but I understand that lots of people do like it and appreciate it.",topic_10,0.4136444,Positive
"Exactly.  THere are some art installations I don't really care for, but I don't care that they are there.  It's whatever.",topic_10,-0.6106769,Negative
It does serve a functional purpose. That purpose isn’t what society approves of so it was shut down.,topic_10,-0.56489956,Negative
Why do some people get so up in arms about public spaces/art/installations/etc. that don't serve a specific purpose?,topic_10,-0.65270674,Negative
"Now that's art, baby.",topic_10,0.72589743,Positive
That’s art that would save lives.,topic_10,0.63514894,Positive
Also isn't the knockoff bean the same artist as the original? That's like calling Sunflowers a knockoff of Starry Night.,topic_10,-0.37994894,Negative
"Probably, “I still think it’s ugly.” You can have different opinions on art. It’s OK.",topic_10,-0.55805224,Negative
I suppose all monumental public art paid for by real estate developers in a bid to attract foot traffic to their ground level retail clients is pretty fucking cynical to begin with,topic_10,-0.67506987,Negative
"It really is just the worst of corporate ""art:"" shallow, uninspired, and bleak.",topic_10,-0.72589743,Negative
"See, I don't get this at all: you mention that the scale felt monumental, but also that it felt small in context, but still think it was great art.",topic_10,-0.26362482,Negative
"Besides the physical beauty of a thing, my go-to for art criticism is thinking of art as a conversation: What is a work of art trying to say? What did the creator say to the work? What is the work saying to the space it's in? And every time I think about this context with the Vessel, I hit a blank. I guess it's saying hexagons are cool? Maybe something about humanity being small, but that's already accomplished better by the scope of the space it's in. The whole thing feels just like a thing that's kind of neat for a couple minutes and is immediately forgotten once you leave.",topic_10,-0.06988589,Neutral
I love public art but this always felt uniquely corporate + soulless.,topic_10,-0.66403675,Negative
"The Halal Guys got a free sculpture.  What a nightmare that thing was putting together, i did not envy those ironworkers in the winter time.",topic_10,-0.69625765,Negative
1 more reply,topic_10,0.029991,Neutral
I read the article. I don't think it was a failure. It is a very cool looking (if you're into that kind of thing) piece of public modern art in the middle of a soulless neighborhood. I think that the problem is that people suffering from mental illness do not have access to services that can be lifesaving.,topic_10,0.09966799,Neutral
This is probably the best art piece installed in our city. It’s a hidden gem in a open space.,topic_10,0.7487043,Positive
"i'm not sure one of the most well-known and recognizable pieces of public art in new york city counts as a ""hidden gem""",topic_10,-0.3713602,Negative
It’s bad enough that “modern art” that looks like oversized twisted paper clips exist.,topic_10,-0.7352223,Negative
"This is an evolutionary form of that garbage. It’s not real art, it’s a hobby for trust fund babies.",topic_10,-0.72589743,Negative
lol when has art ever not been a hobby for trust fund babies?,topic_10,-0.55805224,Negative
Why is it up to them? The artist doesn’t own it do they?,topic_10,-0.52266544,Negative
"Sad and incredibly depressed people said, ""give me an ugly art sculpture tall enough and I shall leave this world.""",topic_10,-0.72589743,Negative
It’s such a garbage piece of art I know a few people have killed themselves over it,topic_10,-0.7352223,Negative
"I know this is a massive structure, but the average cost for city commissioned public art for a sculpture is between $350k-$1 million. Usually on the lower side.",topic_10,-0.32747737,Negative
I like it. It’s interesting to look at. And it’s a hell of a lot better than other public art which is typically mediocre.,topic_10,0.73978305,Positive
"Yes, an entirely wonderful piece of art!",topic_10,0.7487043,Positive
